geo,year,country,election_date,party_name,vote_share_percent,party_code,parfam,right_left_position,planned_economy,welfare_state,market_economy,inter_positive,democracy,sustainability_positive,parfam_code,parfam_label,total_poverty,gdp_per_cap,consumer_prices,f_unemployment,m_unemployment,t_unemployment,dependency_ratio_15_64,debt_to_gdp,"Less than primary, primary and lower secondary education (levels 0-2)",Tertiary education (levels 5-8),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",migration_inflow,median_age,population_total,urban_population_pct,wealth_top10_share,rel_migration
AT,1954,Austria,1953-02-22,Austrian People’s Party,41.257,42520,50.0,29.5,1.6,7.3,9.8,2.4,8.9,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1954,Austria,1953-02-22,Austrian Social Democratic Party,42.108,42320,30.0,-16.5,11.5,12.8,0.0,5.1,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1954,Austria,1953-02-22,League of Independents,10.949,42420,70.0,-3.6,5.1,11.5,2.6,12.8,18.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1955,Austria,1953-02-22,Austrian People’s Party,41.257,42520,50.0,29.5,1.6,7.3,9.8,2.4,8.9,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1955,Austria,1953-02-22,Austrian Social Democratic Party,42.108,42320,30.0,-16.5,11.5,12.8,0.0,5.1,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1955,Austria,1953-02-22,League of Independents,10.949,42420,70.0,-3.6,5.1,11.5,2.6,12.8,18.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1956,Austria,1956-05-13,Austrian Freedom Party,6.52,42420,70.0,-4.2,4.2,8.4,8.4,4.2,16.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1956,Austria,1956-05-13,Austrian People’s Party,45.957,42520,50.0,45.9,0.0,12.6,29.2,2.1,0.0,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1956,Austria,1956-05-13,Austrian Social Democratic Party,43.045,42320,30.0,-16.9,4.0,18.7,4.9,3.9,6.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1957,Austria,1956-05-13,Austrian Freedom Party,6.52,42420,70.0,-4.2,4.2,8.4,8.4,4.2,16.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1957,Austria,1956-05-13,Austrian People’s Party,45.957,42520,50.0,45.9,0.0,12.6,29.2,2.1,0.0,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1957,Austria,1956-05-13,Austrian Social Democratic Party,43.045,42320,30.0,-16.9,4.0,18.7,4.9,3.9,6.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1958,Austria,1956-05-13,Austrian Freedom Party,6.52,42420,70.0,-4.2,4.2,8.4,8.4,4.2,16.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1958,Austria,1956-05-13,Austrian People’s Party,45.957,42520,50.0,45.9,0.0,12.6,29.2,2.1,0.0,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1958,Austria,1956-05-13,Austrian Social Democratic Party,43.045,42320,30.0,-16.9,4.0,18.7,4.9,3.9,6.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1959,Austria,1959-05-10,Austrian Freedom Party,7.704,42420,70.0,21.2,8.2,3.0,9.2,2.9,5.2,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1959,Austria,1959-05-10,Austrian People’s Party,44.192,42520,50.0,24.0,0.0,5.9,10.9,0.4,10.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1959,Austria,1959-05-10,Austrian Social Democratic Party,44.786,42320,30.0,-16.0,4.0,21.0,0.0,3.0,7.0,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1960,Austria,1959-05-10,Austrian Freedom Party,7.704,42420,70.0,21.2,8.2,3.0,9.2,2.9,5.2,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1960,Austria,1959-05-10,Austrian People’s Party,44.192,42520,50.0,24.0,0.0,5.9,10.9,0.4,10.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1960,Austria,1959-05-10,Austrian Social Democratic Party,44.786,42320,30.0,-16.0,4.0,21.0,0.0,3.0,7.0,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1961,Austria,1959-05-10,Austrian Freedom Party,7.704,42420,70.0,21.2,8.2,3.0,9.2,2.9,5.2,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1961,Austria,1959-05-10,Austrian People’s Party,44.192,42520,50.0,24.0,0.0,5.9,10.9,0.4,10.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1961,Austria,1959-05-10,Austrian Social Democratic Party,44.786,42320,30.0,-16.0,4.0,21.0,0.0,3.0,7.0,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1962,Austria,1962-11-18,Austrian Freedom Party,7.044,42420,70.0,-24.6,0.0,3.6,0.0,10.5,33.3,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1962,Austria,1962-11-18,Austrian People’s Party,45.432,42520,50.0,11.2,3.5,11.2,8.4,4.2,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1962,Austria,1962-11-18,Austrian Social Democratic Party,44.0,42320,30.0,-13.5,10.2,17.7,6.2,2.0,5.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1963,Austria,1962-11-18,Austrian Freedom Party,7.044,42420,70.0,-24.6,0.0,3.6,0.0,10.5,33.3,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1963,Austria,1962-11-18,Austrian People’s Party,45.432,42520,50.0,11.2,3.5,11.2,8.4,4.2,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1963,Austria,1962-11-18,Austrian Social Democratic Party,44.0,42320,30.0,-13.5,10.2,17.7,6.2,2.0,5.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1964,Austria,1962-11-18,Austrian Freedom Party,7.044,42420,70.0,-24.6,0.0,3.6,0.0,10.5,33.3,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1964,Austria,1962-11-18,Austrian People’s Party,45.432,42520,50.0,11.2,3.5,11.2,8.4,4.2,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1964,Austria,1962-11-18,Austrian Social Democratic Party,44.0,42320,30.0,-13.5,10.2,17.7,6.2,2.0,5.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1965,Austria,1962-11-18,Austrian Freedom Party,7.044,42420,70.0,-24.6,0.0,3.6,0.0,10.5,33.3,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1965,Austria,1962-11-18,Austrian People’s Party,45.432,42520,50.0,11.2,3.5,11.2,8.4,4.2,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1965,Austria,1962-11-18,Austrian Social Democratic Party,44.0,42320,30.0,-13.5,10.2,17.7,6.2,2.0,5.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1966,Austria,1966-03-06,Austrian Freedom Party,5.353,42420,70.0,-28.95,0.0,7.8,2.35,15.75,21.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1966,Austria,1966-03-06,Austrian People’s Party,48.349,42520,50.0,5.8,1.6,9.9,9.3,0.0,4.3,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1966,Austria,1966-03-06,Austrian Social Democratic Party,42.565,42320,30.0,-15.8,4.2,9.2,2.9,2.6,7.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1967,Austria,1966-03-06,Austrian Freedom Party,5.353,42420,70.0,-28.95,0.0,7.8,2.35,15.75,21.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1967,Austria,1966-03-06,Austrian People’s Party,48.349,42520,50.0,5.8,1.6,9.9,9.3,0.0,4.3,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1967,Austria,1966-03-06,Austrian Social Democratic Party,42.565,42320,30.0,-15.8,4.2,9.2,2.9,2.6,7.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1968,Austria,1966-03-06,Austrian Freedom Party,5.353,42420,70.0,-28.95,0.0,7.8,2.35,15.75,21.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1968,Austria,1966-03-06,Austrian People’s Party,48.349,42520,50.0,5.8,1.6,9.9,9.3,0.0,4.3,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1968,Austria,1966-03-06,Austrian Social Democratic Party,42.565,42320,30.0,-15.8,4.2,9.2,2.9,2.6,7.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1969,Austria,1966-03-06,Austrian Freedom Party,5.353,42420,70.0,-28.95,0.0,7.8,2.35,15.75,21.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1969,Austria,1966-03-06,Austrian People’s Party,48.349,42520,50.0,5.8,1.6,9.9,9.3,0.0,4.3,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1969,Austria,1966-03-06,Austrian Social Democratic Party,42.565,42320,30.0,-15.8,4.2,9.2,2.9,2.6,7.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1970,Austria,1970-03-01,Austrian Freedom Party,5.522,42420,70.0,-33.3,0.0,12.0,4.7,21.0,8.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1970,Austria,1970-03-01,Austrian People’s Party,44.694,42520,50.0,-6.8,1.1,10.3,4.6,1.6,4.3,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1970,Austria,1970-03-01,Austrian Social Democratic Party,48.42,42320,30.0,-54.3,22.9,0.0,0.0,11.4,20.0,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1971,Austria,1971-10-10,Austrian Freedom Party,5.453,42420,70.0,-6.6,7.8,11.2,12.0,6.4,4.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1971,Austria,1971-10-10,Austrian People’s Party,43.114,42520,50.0,25.3,0.0,7.1,10.3,0.9,5.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1971,Austria,1971-10-10,Austrian Social Democratic Party,50.037,42320,30.0,-13.8,1.0,18.3,7.6,1.0,10.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1972,Austria,1971-10-10,Austrian Freedom Party,5.453,42420,70.0,-6.6,7.8,11.2,12.0,6.4,4.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1972,Austria,1971-10-10,Austrian People’s Party,43.114,42520,50.0,25.3,0.0,7.1,10.3,0.9,5.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1972,Austria,1971-10-10,Austrian Social Democratic Party,50.037,42320,30.0,-13.8,1.0,18.3,7.6,1.0,10.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1973,Austria,1971-10-10,Austrian Freedom Party,5.453,42420,70.0,-6.6,7.8,11.2,12.0,6.4,4.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1973,Austria,1971-10-10,Austrian People’s Party,43.114,42520,50.0,25.3,0.0,7.1,10.3,0.9,5.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1973,Austria,1971-10-10,Austrian Social Democratic Party,50.037,42320,30.0,-13.8,1.0,18.3,7.6,1.0,10.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1974,Austria,1971-10-10,Austrian Freedom Party,5.453,42420,70.0,-6.6,7.8,11.2,12.0,6.4,4.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1974,Austria,1971-10-10,Austrian People’s Party,43.114,42520,50.0,25.3,0.0,7.1,10.3,0.9,5.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1974,Austria,1971-10-10,Austrian Social Democratic Party,50.037,42320,30.0,-13.8,1.0,18.3,7.6,1.0,10.2,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1975,Austria,1975-10-05,Austrian Freedom Party,5.407,42420,70.0,-11.9,0.9,24.8,9.2,0.0,15.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1975,Austria,1975-10-05,Austrian People’s Party,42.946,42520,50.0,3.1,1.3,9.5,15.2,4.1,9.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1975,Austria,1975-10-05,Austrian Social Democratic Party,50.422,42320,30.0,-18.9,6.5,19.2,2.0,5.5,4.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1976,Austria,1975-10-05,Austrian Freedom Party,5.407,42420,70.0,-11.9,0.9,24.8,9.2,0.0,15.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1976,Austria,1975-10-05,Austrian People’s Party,42.946,42520,50.0,3.1,1.3,9.5,15.2,4.1,9.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1976,Austria,1975-10-05,Austrian Social Democratic Party,50.422,42320,30.0,-18.9,6.5,19.2,2.0,5.5,4.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1977,Austria,1975-10-05,Austrian Freedom Party,5.407,42420,70.0,-11.9,0.9,24.8,9.2,0.0,15.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1977,Austria,1975-10-05,Austrian People’s Party,42.946,42520,50.0,3.1,1.3,9.5,15.2,4.1,9.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1977,Austria,1975-10-05,Austrian Social Democratic Party,50.422,42320,30.0,-18.9,6.5,19.2,2.0,5.5,4.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1978,Austria,1975-10-05,Austrian Freedom Party,5.407,42420,70.0,-11.9,0.9,24.8,9.2,0.0,15.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1978,Austria,1975-10-05,Austrian People’s Party,42.946,42520,50.0,3.1,1.3,9.5,15.2,4.1,9.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1978,Austria,1975-10-05,Austrian Social Democratic Party,50.422,42320,30.0,-18.9,6.5,19.2,2.0,5.5,4.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1979,Austria,1979-05-06,Austrian Freedom Party,6.063,42420,70.0,-3.5,1.1,12.0,7.4,8.6,13.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1979,Austria,1979-05-06,Austrian People’s Party,41.904,42520,50.0,-17.1,0.0,17.8,10.0,0.0,12.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1979,Austria,1979-05-06,Austrian Social Democratic Party,51.028,42320,30.0,-5.7,2.6,13.0,2.6,3.7,3.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1980,Austria,1979-05-06,Austrian Freedom Party,6.063,42420,70.0,-3.5,1.1,12.0,7.4,8.6,13.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1980,Austria,1979-05-06,Austrian People’s Party,41.904,42520,50.0,-17.1,0.0,17.8,10.0,0.0,12.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1980,Austria,1979-05-06,Austrian Social Democratic Party,51.028,42320,30.0,-5.7,2.6,13.0,2.6,3.7,3.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1981,Austria,1979-05-06,Austrian Freedom Party,6.063,42420,70.0,-3.5,1.1,12.0,7.4,8.6,13.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1981,Austria,1979-05-06,Austrian People’s Party,41.904,42520,50.0,-17.1,0.0,17.8,10.0,0.0,12.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1981,Austria,1979-05-06,Austrian Social Democratic Party,51.028,42320,30.0,-5.7,2.6,13.0,2.6,3.7,3.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1982,Austria,1979-05-06,Austrian Freedom Party,6.063,42420,70.0,-3.5,1.1,12.0,7.4,8.6,13.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1982,Austria,1979-05-06,Austrian People’s Party,41.904,42520,50.0,-17.1,0.0,17.8,10.0,0.0,12.1,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1982,Austria,1979-05-06,Austrian Social Democratic Party,51.028,42320,30.0,-5.7,2.6,13.0,2.6,3.7,3.9,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1983,Austria,1983-04-24,Austrian Freedom Party,4.982,42420,70.0,15.1,2.3,8.1,7.6,2.1,3.5,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1983,Austria,1983-04-24,Austrian People’s Party,43.223,42520,50.0,1.0,3.9,6.6,8.2,1.1,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1983,Austria,1983-04-24,Austrian Social Democratic Party,47.647,42320,30.0,-21.2,4.4,18.7,2.5,1.5,3.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1984,Austria,1983-04-24,Austrian Freedom Party,4.982,42420,70.0,15.1,2.3,8.1,7.6,2.1,3.5,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1984,Austria,1983-04-24,Austrian People’s Party,43.223,42520,50.0,1.0,3.9,6.6,8.2,1.1,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1984,Austria,1983-04-24,Austrian Social Democratic Party,47.647,42320,30.0,-21.2,4.4,18.7,2.5,1.5,3.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1985,Austria,1983-04-24,Austrian Freedom Party,4.982,42420,70.0,15.1,2.3,8.1,7.6,2.1,3.5,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1985,Austria,1983-04-24,Austrian People’s Party,43.223,42520,50.0,1.0,3.9,6.6,8.2,1.1,7.7,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1985,Austria,1983-04-24,Austrian Social Democratic Party,47.647,42320,30.0,-21.2,4.4,18.7,2.5,1.5,3.8,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1986,Austria,1986-11-23,Austrian Freedom Party,9.732,42420,70.0,-5.9,0.0,7.0,13.2,2.9,12.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1986,Austria,1986-11-23,Austrian People’s Party,41.294,42520,50.0,29.1,1.7,5.0,24.2,0.0,7.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1986,Austria,1986-11-23,Austrian Social Democratic Party,43.115,42320,30.0,-7.1,0.3,14.0,3.2,4.0,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1986,Austria,1986-11-23,Green Alternative,4.823,42110,10.0,-15.2,0.7,14.3,0.0,4.1,7.8,,ECO,Ecological parties,,,,,,,,,,,,,,,,,,
AT,1987,Austria,1986-11-23,Austrian Freedom Party,9.732,42420,70.0,-5.9,0.0,7.0,13.2,2.9,12.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1987,Austria,1986-11-23,Austrian People’s Party,41.294,42520,50.0,29.1,1.7,5.0,24.2,0.0,7.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1987,Austria,1986-11-23,Austrian Social Democratic Party,43.115,42320,30.0,-7.1,0.3,14.0,3.2,4.0,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1987,Austria,1986-11-23,Green Alternative,4.823,42110,10.0,-15.2,0.7,14.3,0.0,4.1,7.8,,ECO,Ecological parties,,,,,,,,,,,,,,,,,,
AT,1988,Austria,1986-11-23,Austrian Freedom Party,9.732,42420,70.0,-5.9,0.0,7.0,13.2,2.9,12.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1988,Austria,1986-11-23,Austrian People’s Party,41.294,42520,50.0,29.1,1.7,5.0,24.2,0.0,7.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1988,Austria,1986-11-23,Austrian Social Democratic Party,43.115,42320,30.0,-7.1,0.3,14.0,3.2,4.0,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1988,Austria,1986-11-23,Green Alternative,4.823,42110,10.0,-15.2,0.7,14.3,0.0,4.1,7.8,,ECO,Ecological parties,,,,,,,,,,,,,,,,,,
AT,1989,Austria,1986-11-23,Austrian Freedom Party,9.732,42420,70.0,-5.9,0.0,7.0,13.2,2.9,12.6,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1989,Austria,1986-11-23,Austrian People’s Party,41.294,42520,50.0,29.1,1.7,5.0,24.2,0.0,7.5,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1989,Austria,1986-11-23,Austrian Social Democratic Party,43.115,42320,30.0,-7.1,0.3,14.0,3.2,4.0,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1989,Austria,1986-11-23,Green Alternative,4.823,42110,10.0,-15.2,0.7,14.3,0.0,4.1,7.8,,ECO,Ecological parties,,,,,,,,,,,,,,,,,,
AT,1990,Austria,1990-10-07,Austrian Freedom Party,16.635,42420,70.0,14.9,4.2,2.9,7.6,2.3,7.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1990,Austria,1990-10-07,Austrian People’s Party,32.064,42520,50.0,4.8,1.1,7.5,9.8,4.9,3.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1990,Austria,1990-10-07,Austrian Social Democratic Party,42.781,42320,30.0,-7.6,1.3,13.4,1.4,6.2,2.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1990,Austria,1990-10-07,Green Alternative,4.784,42110,10.0,-12.4,0.6,11.7,0.3,1.1,15.2,,ECO,Ecological parties,,,,,,,,,,,,,,,,,,
AT,1991,Austria,1990-10-07,Austrian Freedom Party,16.635,42420,70.0,14.9,4.2,2.9,7.6,2.3,7.1,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1991,Austria,1990-10-07,Austrian People’s Party,32.064,42520,50.0,4.8,1.1,7.5,9.8,4.9,3.6,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1991,Austria,1990-10-07,Austrian Social Democratic Party,42.781,42320,30.0,-7.6,1.3,13.4,1.4,6.2,2.4,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
