STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,citizen,Country of citizenship,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2021,,5.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2022,,5.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2023,,5.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2024,,5.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2000,,15.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2001,,18.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2002,,17.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2003,,13.2,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2004,,11.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2005,,9.8,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2006,,9.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2007,,7.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2008,,5.8,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2009,,6.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2010,,9.6,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2011,,10.1,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2012,,10.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2013,,11.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2014,,10.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2015,,8.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2016,,7.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2017,,6.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2018,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2019,,3.8,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2020,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2021,,4.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2022,,3.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2023,,4.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BG,Bulgaria,2024,,3.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,1996,,4.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,1997,,4.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,1998,,4.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,1999,,3.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2000,,3.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2001,,3.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2002,,3.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2003,,4.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2004,,4.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2005,,5.1,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2006,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2007,,4.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2008,,4.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2009,,4.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2010,,5.2,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2011,,4.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2012,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2013,,4.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2014,,5.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2015,,4.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2016,,5.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2017,,5.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2018,,5.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2019,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2020,,5.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2021,,5.3,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2022,,4.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2023,,4.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CH,Switzerland,2024,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,1999,,,,u,low reliability,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2000,,7.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2001,,5.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2002,,4.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2003,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2004,,5.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2005,,6.5,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2006,,5.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2007,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2008,,4.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2009,,5.5,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,CY,Cyprus,2010,,6.4,,,,,
