STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2019,,14.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2020,,14.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2021,,15.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2022,,15.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2023,,15.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2024,,15.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,1995,,17,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,1996,,17,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,1997,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,1998,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,1999,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2000,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2001,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2003,,16.3,,b,break in time series,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2004,,15.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2005,,15.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2006,,15.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2007,,15.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2008,,15.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2009,,15.7,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2010,,15.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2011,,16.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2012,,15.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2013,,15.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2014,,15.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2015,,15.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2016,,16.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2017,,17.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2018,,17.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2019,,15.1,,b,break in time series,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2020,,14.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2021,,13.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2022,,13.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2023,,12.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BE,Belgium,2024,,11.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2000,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2001,,17,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2002,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2006,,19.3,,b,break in time series,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2007,,23.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2008,,22.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2009,,23.7,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2010,,22.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2011,,23.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2012,,22.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2013,,22.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2014,,22.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2015,,23.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2016,,24.1,,b,break in time series,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2017,,24.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2018,,23.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2019,,24.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2020,,25.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2021,,23.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2022,,25.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2023,,21.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,BG,Bulgaria,2024,,22.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2007,,16.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2008,,17.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2009,,17.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2010,,16.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2011,,16.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2012,,17.4,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2013,,15.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2014,,15.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2015,,16.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2016,,15.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,CH,Switzerland,2017,,16.1,,,,,
